mes,temperatura_c,umidade_relativa,velocidade_vento_kmh,precipitacao_mm,dias_sem_chuva,ndvi,indice_fwi,latitude,longitude,altitude_m,tipo_cobertura,ocorrencia_foco
9,27.1,40.0,24.2,0.2,19,0.722,26.4,-29.0184,-40.9975,402.0,cerrado,1
8,32.3,54.6,6.6,0.3,21,0.463,23.4,-18.5876,-37.4198,343.0,agricultura,1
1,21.4,74.5,4.1,3.1,5,0.571,7.8,-13.301,-67.9048,499.0,cerrado,0
5,28.8,51.9,16.2,0.4,13,0.648,20.8,-0.397,-40.7696,406.0,agricultura,1
6,36.4,43.5,2.0,4.1,9,0.603,17.8,1.9816,-72.889,80.0,cerrado,1
11,27.8,55.8,17.0,0.6,4,0.32,15.8,-20.8338,-69.4765,357.0,agricultura,1
3,26.7,69.2,18.0,2.9,4,0.511,14.2,-1.7086,-57.5513,441.0,cerrado,1
6,30.0,47.8,6.1,7.4,6,0.728,13.8,-1.1751,-47.1606,555.0,floresta,0
5,32.1,35.7,0.6,0.2,15,0.641,19.8,-17.333,-54.4305,568.0,floresta,1
2,29.2,55.8,19.3,4.8,5,0.412,16.8,-15.6049,-65.6322,477.0,pastagem,0
2,31.9,73.6,25.3,3.4,3,0.232,17.9,0.5056,-48.7534,717.0,pastagem,0
5,22.5,58.0,24.2,2.2,13,0.476,19.6,0.3242,-39.2495,1345.0,pastagem,0
1,24.7,51.0,24.7,6.6,5,0.451,16.4,3.5217,-42.1966,392.0,pastagem,0
1,28.6,56.8,2.9,6.2,3,0.493,10.3,-9.7405,-62.1318,563.0,cerrado,0
5,32.6,42.2,10.1,3.4,8,0.305,18.3,-14.5019,-37.9169,1051.0,pastagem,0
3,29.6,65.8,11.9,11.1,3,0.892,11.8,-1.5817,-58.537,388.0,floresta,0
7,34.1,31.7,10.6,0.7,14,0.505,23.4,-29.9338,-38.0496,453.0,cerrado,1
1,26.8,82.6,15.7,2.1,4,0.638,12.8,0.1498,-69.862,75.0,cerrado,0
4,25.9,65.1,3.8,8.8,5,0.49,9.2,-24.7698,-36.5839,342.0,agricultura,0
6,32.0,44.4,1.9,1.7,12,0.667,17.8,-15.1562,-60.0761,516.0,cerrado,1
12,32.6,81.1,1.3,6.7,6,0.827,11.3,-6.9211,-56.4355,491.0,floresta,0
8,30.1,32.6,19.6,1.5,10,0.509,22.1,-31.9417,-40.4811,411.0,agricultura,1
11,27.7,58.9,2.9,2.7,5,0.483,11.4,-18.158,-46.413,308.0,cerrado,1
5,33.7,23.0,10.5,2.5,13,0.884,23.0,-21.8707,-51.7971,508.0,floresta,0
6,39.2,35.9,5.9,0.5,10,0.534,22.1,-30.4044,-46.8519,939.0,cerrado,1
6,31.8,20.1,6.1,7.6,20,0.135,23.5,-26.6087,-53.1525,319.0,urbano,0
11,31.8,69.0,8.3,23.3,4,0.487,9.6,-26.9373,-72.9497,173.0,agricultura,0
12,32.9,65.0,6.4,30.0,4,0.446,8.4,-4.4513,-55.1862,896.0,pastagem,0
12,27.7,56.7,1.9,6.0,4,0.57,10.1,-17.6283,-49.817,534.0,agricultura,0
10,27.2,58.8,8.3,3.1,5,0.299,12.7,-31.2443,-68.7437,154.0,pastagem,0
7,31.7,47.1,4.9,5.0,13,0.691,18.2,-24.5375,-64.9675,657.0,agricultura,0
7,32.0,24.4,4.7,1.5,10,0.537,19.0,-5.5126,-64.8285,725.0,agricultura,1
12,31.4,62.5,30.3,10.7,5,0.549,19.5,-24.5194,-52.3602,134.0,cerrado,0
4,28.9,68.4,2.4,10.6,4,0.586,9.1,-16.3633,-64.9805,608.0,cerrado,0
5,33.9,16.6,7.9,0.5,8,0.427,20.6,-8.001,-64.9067,817.0,cerrado,1
11,23.5,68.2,11.2,8.2,4,0.46,9.8,3.5221,-56.9817,211.0,pastagem,0
5,29.1,17.9,30.3,3.1,15,0.832,28.1,-30.7054,-42.4668,308.0,floresta,1
3,36.6,58.6,3.5,4.4,8,0.526,16.8,-24.5781,-62.8217,899.0,cerrado,1
7,32.3,24.0,23.3,0.2,9,0.242,24.6,-24.5597,-63.9376,781.0,urbano,1
4,24.9,77.2,8.2,17.1,4,0.613,7.1,0.5762,-53.8944,362.0,cerrado,0
11,33.7,46.1,8.5,24.8,5,0.722,12.3,-12.0576,-59.8952,617.0,floresta,0
11,29.1,40.2,15.0,5.4,7,0.88,17.5,-4.4664,-34.7651,316.0,floresta,0
4,30.3,61.6,25.8,3.5,4,0.195,18.6,-15.5491,-41.7412,914.0,urbano,1
7,32.4,33.0,6.3,1.7,15,0.603,21.6,-15.0269,-58.3313,143.0,pastagem,1
12,26.7,41.9,11.9,2.9,4,0.555,14.3,4.0024,-69.2103,133.0,pastagem,0
9,32.3,44.3,10.7,0.1,17,0.583,23.4,-26.7337,-65.2846,512.0,cerrado,1
3,22.5,36.1,10.3,11.5,1,0.385,9.1,-17.9021,-42.6656,448.0,pastagem,1
8,32.6,25.6,16.9,2.6,6,0.441,20.7,4.5047,-55.7217,2117.0,pastagem,1
8,34.2,31.1,5.2,0.7,7,0.581,18.4,-23.0989,-66.1858,581.0,agricultura,0
8,40.4,47.6,7.1,6.3,10,0.405,21.0,-28.783,-49.0041,181.0,pastagem,1
1,28.3,75.5,2.0,4.6,4,0.585,9.4,-21.7393,-48.4223,290.0,cerrado,0
4,18.7,73.2,14.2,5.5,4,0.494,8.7,-1.2368,-60.8299,239.0,pastagem,0
11,27.6,58.2,9.9,3.9,3,0.441,12.3,4.831,-68.2359,218.0,pastagem,1
3,39.0,30.9,25.4,13.0,4,0.714,22.6,-9.3213,-51.4475,520.0,floresta,1
4,31.5,64.7,3.4,8.4,3,0.678,10.7,4.6053,-51.4482,362.0,cerrado,0
4,24.8,77.6,32.8,0.2,8,0.588,19.8,-26.2343,-55.7219,306.0,cerrado,0
3,30.4,74.8,15.9,5.0,1,0.476,13.0,-9.0931,-35.2048,1111.0,agricultura,0
2,25.0,65.6,15.4,10.5,0,0.487,9.5,-10.4826,-61.1795,471.0,cerrado,0
5,27.6,23.7,5.8,0.1,6,0.522,15.7,-28.0032,-53.8879,19.0,pastagem,1
11,26.6,53.7,7.7,10.4,3,0.544,10.2,-9.596,-48.5849,871.0,cerrado,0
1,28.4,83.2,6.7,8.5,2,0.578,8.5,-12.617,-46.3783,1716.0,agricultura,0
4,20.5,43.0,22.4,1.4,3,0.126,14.4,-4.2597,-40.1863,189.0,urbano,0
1,23.4,46.2,1.6,3.8,4,0.804,9.3,-1.4411,-65.1662,962.0,floresta,0
7,33.0,49.3,8.6,0.2,14,0.742,21.2,-24.4855,-39.5061,156.0,floresta,0
4,26.4,54.8,9.2,2.5,2,0.589,11.5,-28.8195,-69.9492,80.0,pastagem,0
10,29.6,45.8,6.5,3.7,2,0.479,12.5,2.126,-71.405,185.0,pastagem,1
8,28.1,56.3,4.2,2.8,17,0.37,18.2,-4.8549,-39.1564,384.0,pastagem,0
10,30.9,65.5,0.8,11.1,4,0.625,9.6,-19.2302,-60.9962,671.0,cerrado,0
8,28.3,33.4,8.7,1.9,18,0.599,21.9,-12.6065,-42.1445,234.0,agricultura,0
6,39.6,24.3,14.2,1.1,10,0.423,25.4,-1.7489,-43.0382,251.0,pastagem,1
11,21.1,84.6,9.9,10.1,8,0.485,8.8,-26.8184,-46.9812,415.0,cerrado,0
6,28.6,37.7,4.2,1.7,10,0.374,16.4,-32.9505,-65.8178,353.0,cerrado,0
12,29.7,76.8,9.2,7.0,8,0.288,13.6,-12.2363,-57.0135,1204.0,urbano,0
12,34.7,70.7,25.6,11.6,4,0.41,18.3,-29.4593,-41.6256,555.0,cerrado,0
8,34.3,31.7,5.4,2.9,9,0.776,19.0,3.5627,-70.0742,373.0,floresta,0
9,35.3,31.8,11.1,2.1,18,0.062,25.8,-25.2578,-53.7608,990.0,urbano,1
4,28.1,77.4,12.3,8.3,3,0.594,11.0,-5.0242,-67.8543,947.0,pastagem,0
10,23.9,77.6,2.6,2.4,2,0.557,6.9,-5.9791,-69.9108,369.0,pastagem,0
9,31.0,15.5,7.4,0.6,15,0.524,22.7,-26.6809,-56.3414,977.0,agricultura,1
11,23.2,66.6,7.4,24.5,7,0.634,6.8,-32.0333,-61.6187,798.0,cerrado,0
4,22.9,58.5,9.6,1.9,1,0.439,9.5,-24.2513,-41.1684,725.0,pastagem,0
10,29.6,47.6,21.8,11.7,5,0.484,17.0,-12.4431,-54.4815,188.0,cerrado,1
6,28.5,41.1,3.3,1.0,20,0.366,21.0,-28.198,-44.3573,380.0,agricultura,1
3,29.3,43.8,22.8,9.2,10,0.843,20.3,2.7228,-47.5467,464.0,floresta,0
3,22.8,54.4,14.9,0.1,2,0.699,12.2,-3.2559,-35.9478,328.0,floresta,0
7,34.2,28.4,33.4,0.2,15,0.752,31.1,-24.4791,-63.5991,421.0,cerrado,1
4,26.0,54.0,1.1,12.3,3,0.461,7.6,-28.704,-42.7681,534.0,cerrado,0
2,33.6,59.1,45.8,0.4,6,0.861,27.9,-30.4324,-66.4951,80.0,floresta,1
6,34.3,25.8,2.5,0.7,10,0.552,19.5,-1.8528,-39.5087,423.0,pastagem,1
8,37.9,56.9,4.5,5.2,11,0.393,19.2,0.5205,-39.0595,940.0,agricultura,1
4,25.0,65.9,4.6,11.1,5,0.744,8.5,-13.0109,-41.3028,1016.0,floresta,0
12,28.2,81.5,14.4,3.3,5,0.482,13.4,-11.5444,-61.1592,83.0,agricultura,0
10,24.1,58.1,7.9,1.9,3,0.779,10.5,-16.9563,-68.1313,1031.0,agricultura,0
7,31.3,31.4,5.2,5.9,12,0.76,18.5,-2.6562,-40.2701,173.0,floresta,1
12,27.0,81.1,29.4,2.1,4,0.689,17.1,0.1987,-50.4169,690.0,floresta,0
6,30.1,31.1,0.9,2.0,12,0.489,17.5,-21.0672,-56.0796,521.0,pastagem,1
2,23.1,57.9,19.0,16.1,6,0.466,12.1,1.2203,-57.4954,1452.0,cerrado,1
1,22.3,68.6,9.0,7.9,7,0.445,10.1,-23.8152,-69.9467,124.0,pastagem,0
12,18.6,45.1,5.1,16.2,5,0.414,6.3,-24.6243,-48.1218,2209.0,pastagem,0
12,23.8,68.5,5.7,3.1,1,0.491,7.7,-0.6506,-53.1678,739.0,pastagem,0
9,35.5,45.0,7.3,0.4,13,0.455,21.7,-13.228,-35.5489,559.0,agricultura,1
2,21.6,75.2,4.6,9.6,3,0.444,5.7,-31.0108,-46.9974,232.0,agricultura,0
4,22.5,70.7,17.0,14.6,4,0.536,9.6,-29.1269,-35.3747,231.0,pastagem,0
1,35.2,75.6,6.8,8.4,7,0.803,14.6,-22.0502,-68.4064,977.0,floresta,0
1,25.5,58.7,15.3,1.5,6,0.782,14.9,-26.2223,-46.7002,552.0,floresta,0
3,29.3,49.6,5.7,33.5,7,0.296,8.5,4.8607,-41.4286,85.0,pastagem,0
7,35.6,63.3,10.9,0.2,14,0.5,22.1,-5.7402,-49.5541,396.0,pastagem,0
1,30.7,41.7,10.9,6.0,1,0.462,13.7,-16.3307,-49.4059,1050.0,agricultura,0
12,21.9,42.9,9.6,16.1,4,0.472,8.8,-2.3377,-67.7696,113.0,pastagem,0
6,32.1,44.8,23.3,1.6,16,0.302,26.2,-21.8255,-61.1514,677.0,pastagem,1
4,21.5,79.5,24.9,9.7,2,0.222,10.9,-31.8963,-48.698,625.0,urbano,0
7,42.8,40.3,16.4,0.1,13,0.565,28.1,-19.1263,-55.0797,898.0,cerrado,1
10,21.6,72.0,20.2,9.4,5,0.762,11.6,-19.3957,-39.4786,458.0,floresta,0
4,23.8,36.1,15.7,1.4,7,0.129,16.4,-27.6747,-42.9084,243.0,urbano,0
1,23.8,54.0,6.4,6.1,5,0.593,10.4,-9.0416,-52.6025,864.0,agricultura,1
1,22.0,37.5,8.4,0.8,1,0.72,10.4,-18.3095,-49.5249,440.0,floresta,0
11,33.4,69.4,1.2,10.2,3,0.623,10.2,-21.6592,-47.7454,222.0,cerrado,0
2,37.7,41.4,4.0,8.2,3,0.584,15.4,-10.0322,-47.7913,501.0,agricultura,0
8,31.1,22.7,2.5,1.8,14,0.713,20.1,-5.5387,-46.1569,1095.0,floresta,0
5,27.7,44.2,5.1,3.8,15,0.84,17.9,4.6464,-54.1129,52.0,floresta,0
10,19.1,72.7,11.6,9.1,2,0.746,6.4,0.6332,-69.0476,353.0,floresta,0
1,27.0,58.1,6.2,0.7,7,0.501,13.5,-32.412,-35.7943,475.0,pastagem,0
11,26.7,66.8,17.6,12.3,4,0.475,12.4,-27.2328,-73.3418,770.0,cerrado,0
9,30.4,44.5,4.1,2.8,14,0.541,18.5,-12.2786,-73.3367,298.0,cerrado,0
6,33.9,35.4,14.8,0.6,9,0.786,21.8,-15.3942,-36.4637,277.0,floresta,1
3,29.6,46.9,3.8,5.2,3,0.498,11.9,0.1716,-54.2247,270.0,agricultura,0
12,29.3,66.8,22.2,3.0,5,0.53,17.3,-2.0457,-41.2978,324.0,agricultura,0
4,26.7,67.4,4.1,27.2,4,0.435,5.4,-12.9055,-58.5714,702.0,agricultura,0
6,28.6,48.7,13.3,0.4,13,0.736,20.1,3.0657,-56.7623,300.0,floresta,0
5,35.7,41.7,5.2,0.9,16,0.257,22.7,-19.3405,-45.785,304.0,urbano,1
3,28.1,46.0,27.4,4.8,3,0.167,18.4,-8.2213,-53.6459,154.0,urbano,1
5,36.6,46.3,26.7,1.7,10,0.51,26.1,-6.5509,-37.9753,220.0,cerrado,1
2,31.2,60.0,12.9,3.3,1,0.133,13.8,-13.6763,-46.3403,556.0,urbano,0
1,22.3,54.2,12.7,5.7,1,0.513,9.7,-24.8022,-52.9093,569.0,cerrado,0
4,22.3,56.5,16.7,8.4,5,0.698,12.1,-27.1122,-40.8106,409.0,floresta,0
2,25.0,51.7,14.6,2.1,3,0.508,13.3,-26.8611,-52.2041,416.0,pastagem,0
5,28.8,48.7,18.3,1.0,14,0.414,22.1,-18.2592,-62.0152,196.0,pastagem,1
11,31.0,43.0,4.0,22.5,3,0.413,9.4,-7.4974,-69.1847,680.0,agricultura,1
2,29.4,48.1,9.6,12.6,6,0.534,13.5,-21.2189,-59.978,348.0,cerrado,1
1,32.4,56.1,5.5,12.3,5,0.388,12.6,-0.299,-48.6175,543.0,agricultura,1
2,29.6,79.4,26.4,0.7,2,0.432,16.8,-10.3552,-34.7325,973.0,agricultura,0
7,33.8,50.7,3.0,7.7,15,0.888,18.8,-15.7463,-44.1784,659.0,floresta,0
4,32.8,40.3,29.6,4.6,1,0.363,20.6,-20.7858,-49.2414,510.0,pastagem,0
6,34.9,54.2,9.7,4.1,18,0.539,23.2,-28.691,-65.9045,431.0,cerrado,1
1,28.3,76.2,18.5,6.2,5,0.95,14.4,-12.0973,-45.72,293.0,floresta,0
4,33.9,45.9,6.1,0.3,3,0.57,15.6,-18.6297,-53.0818,292.0,cerrado,0
5,33.5,8.0,2.7,1.0,10,0.459,20.4,3.5886,-44.4413,247.0,agricultura,1
6,31.8,37.1,25.7,3.8,13,0.291,25.4,-4.788,-59.3808,889.0,pastagem,1
7,29.6,51.5,13.8,3.9,12,0.463,19.3,-27.8615,-54.8748,204.0,pastagem,0
10,30.8,79.1,3.3,6.4,2,0.719,9.3,-11.8697,-52.9589,317.0,floresta,0
6,37.9,27.6,8.7,0.3,16,0.495,25.9,0.207,-59.5161,446.0,pastagem,1
11,27.8,81.0,8.2,13.9,3,0.446,8.3,2.6909,-50.8514,1357.0,agricultura,0
7,38.2,11.3,13.4,0.6,11,0.222,26.1,2.3979,-62.9452,146.0,urbano,1
4,20.1,55.6,4.0,6.1,8,0.616,9.4,-1.9496,-70.9463,157.0,agricultura,0
3,27.8,55.0,3.2,8.9,1,0.834,8.6,-22.4679,-66.8647,861.0,floresta,0
4,27.8,73.8,10.6,9.7,2,0.095,9.8,-8.9796,-54.2333,608.0,urbano,0
8,30.1,53.6,4.2,2.6,13,0.507,17.3,-6.021,-71.3154,507.0,agricultura,1
3,37.5,71.5,26.2,1.7,2,0.857,20.7,-1.3045,-58.533,737.0,floresta,0
11,27.7,43.8,17.2,3.1,4,0.328,16.2,0.679,-46.9724,208.0,pastagem,1
6,31.4,48.4,16.9,0.5,12,0.685,21.9,-12.8132,-53.5147,744.0,cerrado,0
11,28.1,66.1,1.1,10.5,9,0.461,11.0,-20.7118,-51.8572,605.0,pastagem,0
9,25.0,17.9,6.3,2.7,13,0.596,18.1,-13.0031,-45.0223,323.0,cerrado,1
5,30.0,13.2,7.5,0.6,9,0.472,19.4,2.0389,-69.1641,435.0,agricultura,1
3,31.9,72.5,3.6,11.9,2,0.784,9.3,-13.0056,-63.4476,199.0,floresta,0
9,30.5,35.8,14.6,3.6,1,0.428,15.6,-27.6489,-57.099,707.0,agricultura,0
4,24.7,44.6,13.2,15.6,4,0.904,11.1,-16.4711,-63.2743,155.0,floresta,0
3,33.2,57.5,16.4,8.9,5,0.923,16.8,-4.0772,-56.448,167.0,floresta,0
12,33.4,64.4,19.9,9.4,4,0.95,16.8,3.998,-38.254,304.0,floresta,0
6,35.1,37.0,19.2,1.0,15,0.409,26.5,-16.9441,-69.4222,48.0,cerrado,1
1,26.2,41.4,48.4,4.4,7,0.476,26.3,-2.7089,-62.2156,453.0,pastagem,1
6,32.0,60.6,9.3,4.3,15,0.485,19.9,-22.6331,-39.3082,532.0,pastagem,0
6,29.8,50.1,8.1,0.8,17,0.494,20.9,-19.18,-51.4002,968.0,cerrado,0
11,24.0,56.0,14.5,1.8,8,0.53,15.1,-21.678,-35.2004,353.0,agricultura,0
9,28.8,34.5,22.4,2.8,16,0.335,24.9,-7.2291,-67.1014,485.0,pastagem,0
3,25.5,64.3,1.9,0.2,3,0.568,9.3,1.8586,-43.7711,430.0,pastagem,0
2,23.9,46.4,4.8,2.4,2,0.427,9.7,-1.8844,-40.4364,809.0,cerrado,0
8,26.7,41.9,5.8,4.8,13,0.22,16.6,-10.4528,-35.6586,1281.0,urbano,0
1,28.9,44.0,10.1,19.0,6,0.613,12.4,-12.6747,-67.6885,498.0,cerrado,0
4,28.9,59.2,6.4,13.1,1,0.732,8.9,-0.6842,-52.57,349.0,floresta,0
2,34.8,46.0,20.1,5.8,2,0.56,18.6,2.6381,-57.879,514.0,pastagem,0
1,25.3,46.6,11.2,1.8,4,0.304,13.4,-3.3893,-49.7612,426.0,pastagem,0
12,29.2,79.7,8.6,0.7,4,0.778,12.2,-8.0595,-70.8204,160.0,floresta,0
2,29.3,60.7,13.3,3.7,3,0.365,13.9,-2.7147,-55.0477,298.0,agricultura,0
1,27.0,62.5,1.3,0.8,5,0.488,10.8,-14.4876,-72.8409,590.0,cerrado,1
12,31.0,35.9,12.9,24.7,8,0.41,14.6,-16.8725,-61.6211,766.0,pastagem,0
3,31.1,52.8,4.3,3.5,6,0.736,14.2,3.6112,-41.1401,1451.0,floresta,0
10,29.3,65.5,17.6,4.0,5,0.602,15.8,-12.0286,-55.316,117.0,agricultura,0
1,27.0,62.3,1.6,11.3,4,0.456,8.3,-11.1346,-39.9475,591.0,cerrado,0
2,26.6,34.2,14.0,0.6,3,0.656,15.4,-28.5468,-71.6738,133.0,floresta,0
2,22.5,62.5,4.5,4.1,4,0.746,8.5,-13.4357,-45.9986,1167.0,floresta,0
9,29.8,42.4,22.7,1.6,11,0.559,22.7,-18.6089,-71.6015,395.0,cerrado,1
8,30.5,53.4,2.1,0.2,15,0.59,18.3,-22.385,-67.7848,683.0,cerrado,0
6,28.5,30.1,9.8,0.5,13,0.872,20.3,3.6668,-41.8557,88.0,floresta,1
3,29.8,33.1,15.9,2.7,6,0.278,18.6,2.3147,-73.2119,554.0,pastagem,1
2,32.8,48.0,12.3,13.5,1,0.685,13.1,4.1507,-58.7771,993.0,cerrado,0
7,29.4,24.8,12.3,5.6,12,0.385,20.3,-19.7046,-36.548,846.0,pastagem,1
3,29.1,68.8,3.0,8.4,3,0.758,9.2,-8.2923,-67.7916,487.0,floresta,0
8,28.9,8.0,2.8,1.5,15,0.552,20.7,-21.297,-36.0858,221.0,cerrado,1
9,31.8,32.6,11.9,4.9,17,0.05,23.4,-16.1068,-66.1716,635.0,urbano,1
11,25.2,77.1,10.6,12.0,8,0.515,11.0,-22.8779,-63.2021,540.0,cerrado,0
6,35.4,38.1,3.8,9.3,8,0.579,16.8,-10.7913,-48.476,953.0,agricultura,1
1,25.3,70.8,3.6,0.4,2,0.831,8.7,-22.0273,-73.7389,219.0,floresta,0
4,32.0,40.3,8.8,5.5,5,0.74,15.9,-21.8598,-45.6372,575.0,floresta,0
11,27.0,40.8,6.9,2.8,7,0.217,14.6,-16.9913,-37.8589,687.0,urbano,1
7,30.4,55.2,32.7,0.2,16,0.487,27.8,-32.1303,-59.7669,88.0,pastagem,1
8,28.0,39.2,23.6,1.7,16,0.429,24.8,1.1371,-49.7854,303.0,pastagem,1
6,34.0,39.2,17.2,8.6,14,0.589,23.3,-24.5602,-59.7082,663.0,cerrado,1
2,31.6,46.6,25.6,1.3,4,0.436,20.6,-9.029,-46.3235,254.0,agricultura,0
11,29.1,61.2,5.5,12.2,0,0.124,8.2,-30.4094,-52.9233,978.0,urbano,0
10,37.0,46.2,6.2,16.8,7,0.756,15.7,-18.4967,-53.8937,1032.0,floresta,0
12,33.7,74.2,21.3,16.6,3,0.587,14.8,-31.3292,-71.9085,379.0,floresta,0
11,26.8,92.7,9.8,8.4,6,0.555,10.0,4.9167,-47.5342,58.0,agricultura,0
4,26.7,65.8,10.2,3.4,4,0.787,12.1,0.0186,-53.76,388.0,floresta,0
4,29.9,52.4,3.4,0.8,6,0.532,13.9,-0.6226,-61.1646,321.0,cerrado,0
3,24.6,29.6,20.6,1.3,7,0.844,18.7,-25.1618,-54.8112,1308.0,floresta,0
12,32.7,39.8,14.5,9.5,6,0.581,17.6,-11.3881,-60.7803,259.0,cerrado,1
7,34.4,56.7,7.6,1.1,12,0.635,19.9,-0.0176,-63.1564,344.0,cerrado,1
6,34.0,25.6,6.2,0.5,9,0.906,20.0,-18.602,-69.1516,363.0,floresta,1
12,30.7,55.5,23.0,7.1,7,0.806,19.2,-31.6696,-65.2062,367.0,floresta,0
8,39.9,45.9,5.5,2.4,13,0.492,22.7,-17.0292,-68.8126,182.0,cerrado,1
11,28.7,77.8,2.4,11.3,5,0.508,8.7,0.8961,-73.5955,89.0,pastagem,0
12,27.5,57.6,23.8,2.1,5,0.443,17.9,-28.7774,-44.4897,270.0,agricultura,1
1,34.0,55.1,24.2,4.9,3,0.439,19.5,-29.6768,-70.2223,519.0,agricultura,0
5,36.9,38.9,5.5,0.6,6,0.757,18.6,-10.2637,-58.2056,842.0,floresta,1
9,31.7,30.5,36.9,0.3,16,0.643,31.4,-24.3809,-48.1001,341.0,cerrado,1
10,28.0,53.1,8.9,14.4,5,0.56,11.4,-18.2267,-45.6918,398.0,agricultura,0
2,28.8,64.9,5.6,13.5,4,0.521,9.6,-17.8256,-70.9344,241.0,pastagem,0
4,29.4,62.2,14.1,0.4,4,0.51,15.3,-6.4004,-38.7406,578.0,agricultura,0
7,27.6,63.6,2.9,1.8,19,0.246,18.2,-31.929,-70.4204,526.0,urbano,0
10,21.8,65.3,4.2,16.3,3,0.598,5.0,-7.9538,-53.4699,974.0,cerrado,0
2,24.5,73.8,12.0,11.7,6,0.725,10.3,-14.3594,-41.1103,74.0,floresta,0
8,29.1,25.1,10.4,0.5,10,0.827,19.6,-13.5139,-55.6881,505.0,floresta,0
4,25.4,66.3,18.4,17.9,0,0.78,9.0,-6.1298,-34.0139,753.0,floresta,0
3,30.5,51.3,3.3,16.3,1,0.418,8.6,-8.6305,-45.767,366.0,pastagem,0
7,32.3,42.7,32.8,2.3,15,0.751,28.7,-7.2866,-60.4473,130.0,floresta,1
5,33.8,46.3,6.8,1.2,6,0.156,17.0,-21.6365,-70.9517,309.0,urbano,1
8,28.1,38.6,10.1,0.5,19,0.428,22.6,-0.6015,-40.9954,1482.0,pastagem,1
4,26.2,88.9,6.6,5.5,4,0.199,8.7,-9.606,-39.1803,823.0,urbano,0
10,30.3,77.1,2.9,20.1,6,0.503,8.3,-15.5082,-48.7742,488.0,pastagem,0
1,30.4,74.1,9.3,1.8,4,0.901,13.2,-13.9342,-60.7723,410.0,floresta,0
11,25.1,69.2,15.7,21.6,4,0.825,9.1,-23.6863,-51.3657,227.0,floresta,0
1,28.6,81.2,8.2,11.2,2,0.509,8.7,-3.037,-73.8905,491.0,agricultura,0
9,41.8,20.8,4.6,1.7,8,0.62,22.7,-22.4308,-57.305,1001.0,floresta,1
5,32.9,54.4,18.8,4.9,10,0.694,20.9,-10.9813,-34.547,437.0,agricultura,0
5,30.2,26.1,19.3,1.6,15,0.723,25.0,2.4834,-65.4743,1004.0,floresta,1
1,27.3,53.2,7.9,4.5,4,0.396,12.3,-12.0397,-46.6832,1738.0,pastagem,0
9,33.4,44.7,12.5,4.2,18,0.651,24.1,-31.5497,-69.802,275.0,cerrado,0
2,27.4,74.8,18.7,5.8,3,0.362,13.3,3.7903,-44.804,283.0,pastagem,0
8,32.9,24.2,15.6,1.6,14,0.53,24.7,-11.5518,-56.4001,195.0,agricultura,1
9,27.2,31.8,12.3,0.8,10,0.743,18.8,-26.0759,-60.3691,296.0,floresta,0
11,24.1,61.2,15.1,4.4,5,0.18,13.0,-14.1161,-53.7765,274.0,urbano,0
9,32.4,35.8,13.2,7.2,15,0.454,22.3,-18.9766,-41.2536,299.0,pastagem,1
4,27.3,70.2,9.7,1.8,4,0.455,12.2,-17.0591,-40.4654,95.0,cerrado,0
9,30.7,79.2,3.3,0.7,8,0.19,13.4,-14.6085,-59.8844,340.0,urbano,0
10,27.3,65.0,4.0,4.9,1,0.582,8.7,-1.5577,-48.6856,1000.0,agricultura,0
4,28.2,51.2,13.6,4.1,7,0.774,16.1,-23.8525,-61.0801,583.0,floresta,1
2,31.6,44.4,6.5,6.8,4,0.95,13.9,-7.9005,-55.9281,328.0,floresta,0
11,27.6,56.1,13.2,0.2,5,0.207,15.2,-5.6748,-47.7493,611.0,urbano,0
2,29.6,48.7,3.2,6.7,3,0.354,11.3,4.2472,-63.7721,691.0,pastagem,0
8,30.8,43.6,5.0,7.1,15,0.508,18.7,-21.0679,-61.0056,325.0,cerrado,1
3,30.3,65.4,8.2,5.8,10,0.625,15.6,-25.3836,-67.3634,659.0,floresta,0
2,29.5,54.4,0.9,4.3,2,0.536,10.1,2.5256,-49.939,24.0,pastagem,0
10,31.5,83.8,4.5,5.1,4,0.678,10.9,3.1407,-40.177,1189.0,cerrado,0
2,30.9,51.2,5.6,3.6,3,0.847,13.0,-3.4307,-37.2757,512.0,floresta,0
9,35.4,36.6,11.0,3.3,9,0.483,20.7,-18.287,-36.2935,744.0,cerrado,1
9,32.6,45.7,7.8,2.3,9,0.71,18.1,3.9215,-42.8186,781.0,floresta,0
1,29.0,70.7,11.4,7.3,8,0.509,14.3,-10.8279,-55.0784,2158.0,pastagem,0
3,32.3,75.3,10.0,16.4,2,0.408,10.2,-24.6988,-41.5002,1772.0,pastagem,0
10,25.4,65.1,7.6,11.3,5,0.381,9.6,-1.6275,-63.7713,337.0,pastagem,0
7,30.5,50.6,5.7,0.0,6,0.702,15.1,-14.6947,-53.5631,600.0,floresta,0
2,28.7,52.0,10.2,3.6,5,0.93,14.4,-30.8096,-37.2601,869.0,floresta,0
12,29.7,71.0,22.4,0.9,2,0.463,16.2,-3.4325,-50.8762,668.0,agricultura,0
4,24.7,70.9,5.6,2.1,6,0.517,10.7,-1.9716,-49.5576,140.0,pastagem,0
1,27.7,78.2,31.9,2.8,4,0.824,18.3,-0.4816,-49.1477,457.0,floresta,0
12,27.6,40.0,10.4,2.1,4,0.432,14.6,-26.8203,-41.8493,1152.0,agricultura,1
